,Ethyl acetate Methyl salicylate ,
Raman shift [1/cm],Intensity,
1484.823,0.036737,
1483.430,0.035113,
1482.038,0.039254,
1480.646,0.048906,
1479.253,0.043771,
1477.861,0.044621,
1476.469,0.049797,
1475.076,0.053189,
1473.684,0.054728,
1472.292,0.058408,
1470.899,0.065391,
1469.507,0.065145,
1468.115,0.065127,
1466.722,0.071455,
1465.330,0.079891,
1463.938,0.083645,
1462.546,0.083976,
1461.153,0.097164,
1459.761,0.094383,
1458.369,0.094446,
1456.976,0.10158,
1455.584,0.10529,
1454.192,0.10251,
1452.799,0.10336,
1451.407,0.10536,
1450.015,0.10316,
1448.622,0.10305,
1447.230,0.10138,
1445.838,0.096049,
1444.445,0.087568,
1443.053,0.080375,
1441.661,0.085805,
1440.268,0.071456,
1438.876,0.067182,
1437.484,0.069002,
1436.091,0.065875,
1434.699,0.054428,
1433.307,0.0453,
1431.914,0.05979,
1430.522,0.055152,
1429.130,0.044969,
1427.737,0.043237,
1426.345,0.043736,
1424.953,0.041184,
1423.560,0.042501,
1422.168,0.042126,
1420.776,0.036612,
1419.383,0.035402,
1417.991,0.036431,
1416.599,0.037001,
1415.206,0.033421,
1413.814,0.020089,
1412.422,0.027763,
1411.029,0.028731,
1409.637,0.028692,
1408.245,0.030442,
1406.852,0.031091,
1405.460,0.025682,
1404.068,0.024459,
1402.675,0.028337,
1401.283,0.02996,
1399.891,0.028108,
1398.498,0.029079,
1397.106,0.034473,
1395.714,0.026777,
1394.321,0.027574,
1392.929,0.033608,
1391.537,0.03044,
1390.144,0.02558,
1388.752,0.027769,
1387.360,0.033585,
1385.967,0.022847,
1384.575,0.02052,
1383.183,0.021943,
1381.791,0.023351,
1380.398,0.023461,
1379.006,0.023939,
1377.614,0.02849,
1376.221,0.024022,
1374.829,0.020436,
1373.437,0.023107,
1372.044,0.026761,
1370.652,0.021355,
1369.260,0.020502,
1367.867,0.027067,
1366.475,0.02732,
1365.083,0.023605,
1363.690,0.023344,
1362.298,0.03155,
1360.906,0.028011,
1359.513,0.029937,
1358.121,0.029854,
1356.729,0.030313,
1355.336,0.03021,
1353.944,0.025404,
1352.552,0.02671,
1351.159,0.027976,
1349.767,0.023158,
1348.375,0.021187,
1346.982,0.024749,
1345.590,0.024912,
1344.198,0.020797,
1342.805,0.02711,
1341.413,0.027887,
1340.021,0.026523,
1338.628,0.028261,
1337.236,0.030029,
1335.844,0.02588,
1334.451,0.024192,
1333.059,0.02859,
1331.667,0.032157,
1330.274,0.027254,
1328.882,0.027351,
1327.490,0.029263,
